month,local_hour,valid_qh,DA_avg_abs_mw,IDA_avg_abs_mw,aFRR_up_avg_mw,aFRR_down_avg_mw
2025-09,15,116,82.75862068965517,75.37449869651965,93.25,81.37068965517241
2025-09,16,116,82.75862068965516,84.23452535761538,95.07758620689656,83.70689655172414
2025-09,17,120,83.33333333333333,81.35394801789741,91.175,85.21666666666667
2025-09,18,120,66.66666666666667,67.3515858214427,90.725,87.15833333333326
2025-09,19,120,76.66666666666667,78.41298895406338,89.54166666666667,89.72500000000007
2025-09,20,120,76.66666666666667,80.83333333333333,86.13333333333334,93.33333333333333
2025-09,21,120,80.0,54.82988012800196,38.5,93.33333333333333
2025-09,22,120,76.66666666666667,71.2112929758463,53.25833333333333,93.33333333333333
2025-09,23,120,73.33333333333333,71.1139646339699,76.61666666666666,93.33333333333333
2025-10,0,110,52.72727272727273,47.57851093053226,77.07272727272729,73.84545454545454
2025-10,1,105,51.22490020837871,53.39995506191877,78.29523809523809,76.00952380952381
2025-10,2,107,46.98130841121497,49.11860197895237,78.25233644859811,77.04672897196262
2025-10,3,104,42.5,46.54197146298236,80.76923076923077,76.33653846153847
2025-10,4,105,49.523809523809526,53.52990476190476,80.0,76.8
2025-10,5,104,55.25961538461539,60.785,80.27884615384616,76.47115384615384
2025-10,6,100,72.5,71.00249324006332,82.0,80.5
2025-10,7,100,67.0,68.48874526263597,80.09,83.38
2025-10,8,100,64.0,65.53297972215896,79.53,84.0
2025-10,9,104,69.6826923076923,69.26152949009496,78.4326923076923,78.71153846153847
2025-10,10,98,55.45731299118345,50.24857628365662,79.07142857142857,69.63265306122449
2025-10,11,104,58.34615384615385,50.23076923076923,73.07692307692308,62.61538461538461
2025-10,12,104,69.73415138044044,63.03389359624287,71.47115384615384,59.94230769230769
2025-10,13,104,69.10765695885392,71.28284095217082,73.07692307692308,51.72115384615385
2025-10,14,104,62.5,60.844220528264216,73.07692307692308,32.68269230769231
2025-10,15,104,61.53846153846154,62.761801965506606,72.52884615384615,42.89423076923077
2025-10,16,104,65.98076923076923,68.69927068076905,71.0,59.85576923076923
2025-10,17,104,63.06730769230769,71.93310524156004,71.26923076923084,68.15384615384616
2025-10,18,104,68.26923076923077,70.95749375039841,71.01923076923077,70.23076923076923
2025-10,19,104,70.1923076923077,72.0487268774996,67.91346153846153,73.07692307692308
2025-10,20,104,68.26923076923077,76.27239034774226,62.07692307692308,73.07692307692308
2025-10,21,104,58.65384615384615,59.841200516975015,49.02884615384615,72.02884615384616
2025-10,22,102,63.72549019607843,63.43051482185736,57.627450980392155,72.54901960784314
2025-10,23,102,58.8235294117647,61.591195541710235,65.01960784313725,70.58823529411765
2025-11,0,106,58.490566037735846,59.10448510251056,89.27358490566037,89.10377358490567
2025-11,1,105,62.857142857142854,62.062834266348496,90.84761904761905,91.20952380952382
2025-11,2,108,75.92592592592592,75.62962962962963,88.58333333333333,85.19444444444444
2025-11,3,108,71.29629629629629,70.77701855124236,86.11111111111111,83.4074074074074
2025-11,4,108,61.111111111111114,59.41365289873676,88.03703703703704,84.37962962962963
2025-11,5,108,68.12962962962963,63.25,86.5,84.00925925925925
2025-11,6,108,67.5925925925926,67.03703703703707,88.88888888888889,88.33333333333333
2025-11,7,108,68.51851851851852,73.96191441097669,81.37037037037037,87.96296296296296
2025-11,8,106,62.264150943396224,62.80761688774497,85.17924528301887,88.67924528301887
2025-11,9,102,66.43137254901961,66.68335377761791,82.83333333333333,84.18627450980392
2025-11,10,104,58.65384615384615,50.49358185968317,79.41346153846153,71.25961538461539
2025-11,11,108,61.111111111111114,45.25,76.17592592592592,50.870370370370374
2025-11,12,108,61.39876146949579,64.18384419094923,76.85185185185185,57.7037037037037
2025-11,13,105,64.76190476190476,65.50586683353846,75.23809523809524,50.04761904761905
2025-11,14,108,59.25925925925926,60.298152860219076,74.07407407407408,51.81481481481482
2025-11,15,108,62.03703703703704,61.795068403145315,74.07407407407408,59.574074074074076
2025-11,16,108,56.48148148148148,62.10695944691145,74.07407407407408,67.29629629629632
2025-11,17,108,47.22222222222222,53.56148148148148,74.07407407407408,73.14814814814815
2025-11,18,108,56.48148148148148,67.63559037485271,67.32407407407408,74.07407407407408
2025-11,19,108,62.03703703703704,64.40418314990217,60.78703703703704,73.14814814814815
2025-11,20,108,57.407407407407405,67.76824891493806,57.574074074074076,74.07407407407408
2025-11,21,108,61.111111111111114,69.4806411711835,58.71296296296296,74.07407407407408
2025-11,22,108,62.96296296296296,67.9442907922603,60.092592592592595,74.07407407407408
2025-11,23,108,62.94520301572188,67.19266153324403,68.82407407407408,73.00925925925925
2025-12,0,116,69.82758620689656,73.473165997621,83.19827586206897,81.0
2025-12,1,116,70.97413793103448,70.41366861806861,84.16379310344827,75.95689655172414
2025-12,2,116,69.82758620689656,71.18627779086148,83.62068965517241,78.60344827586206
2025-12,3,116,64.38793103448276,63.14655172413793,82.75862068965517,83.67241379310344
2025-12,4,116,70.6896551724138,58.741379310344826,83.62068965517241,73.05172413793103
2025-12,5,116,70.76585942181741,63.91379310344828,86.20689655172414,71.78448275862068
2025-12,6,116,77.58620689655173,77.57758620689656,84.48275862068965,81.88793103448276
2025-12,7,116,66.37931034482759,65.98323188212804,86.20689655172414,87.52586206896552
2025-12,8,116,69.50862068965517,65.31780807150922,78.24137931034483,88.84482758620689
2025-12,9,116,62.93103448275862,67.17794869648566,85.87931034482759,84.0
